"Agency","Award Date","Vendor","Contract","Contract-ID","Subject","Current Contract Value","Status","Completion Date","Procurement Method","Category","NGIP Codes and Categories","Vendor ID"
"Department of Public Safety","2016-07-11","APPLIED CONCEPTS, INC.","405-16-P008804","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-16-P008804' target='_blank'>405-16-P008804</a>","Commodity procurement of radars","$312,700","Completed","08/18/2016","Competitive","Goods","680-77 Goods","""17515449258*00"""
"Department of Public Safety","2016-07-12","CONCORD COMMERCIAL SERVICES INC","405-16-P008763","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-16-P008763' target='_blank'>405-16-P008763</a>","TXDPS Tolar DL Remodel","$78,573","Completed","08/31/2016","Competitive","Goods","910-65 Construction","""17526341569000"""
"Department of Public Safety","2016-07-12","GT DISTRIBUTORS","405-17-P008850","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-17-P008850' target='_blank'>405-17-P008850</a>","Commodity procurement of ammunition","$144,551","Completed","01/09/2017","Competitive","Goods","680-4  Goods","""17423395288005"""
"Department of Public Safety","2016-07-13","GT DISTRIBUTORS","405-16-P008869","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-16-P008869' target='_blank'>405-16-P008869</a>","Commodity procurement of ammunition","$73,252","Completed","08/22/2016","Competitive","Goods","680-4  Goods","""17423395288005"""
"Department of Public Safety","2016-07-14","BULLCHASE","405-16-P008914","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-16-P008914' target='_blank'>405-16-P008914</a>","Purchase of Electrical Materials for Remodel","$54,004","Completed","08/31/2016","Competitive","Goods","765-27 Goods, 285-23 Goods, 320-72 Goods, 801-68 Goods, 445-9  Goods, 285-26 Goods, 320-69 Goods, 832-26 Goods, 280-95 Goods, 287-36 Goods, 285-54 Goods, 285-74 Goods, 285-95 Goods, 320-42 Goods, 285-78 Goods","""12637188348001"""
"Department of Public Safety","2016-07-15","LACKEY COMMERCIAL PROPERTIES LLC","405-16-P008979","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-16-P008979' target='_blank'>405-16-P008979</a>","Engineering Services - HVAC System","$70,616","Completed","08/31/2017","Non-Comp, Interagency","Professional","925-7  Professional Services","""12647795322000"""
"Department of Public Safety","2016-07-18","CEDA-TEX SERVICES INC","405-16-P008788","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-16-P008788' target='_blank'>405-16-P008788</a>","Remodeling Construction","$21,371","Completed","07/11/2017","Competitive","Goods","910-75 Construction","""17429198900001"""
"Department of Public Safety","2016-07-19","SAN ANTONIO SKYPLACE REAL ESTATE VENTURES LLC","405-16-P009078","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-16-P009078' target='_blank'>405-16-P009078</a>","San Antonio Hangar Lease","$262,281","Completed","08/31/2020","Competitive","Goods","971-26 Rental or Lease","""14751026247000"""
"Department of Public Safety","2016-07-22","JOHN MAXWELL COMPANY LLC","405-17-P008905","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-17-P008905' target='_blank'>405-17-P008905</a>","Procurement of Leadership Training Kits","$101,400","Completed","02/28/2017","Competitive","Goods","715-47 Goods","""ue-00000001023"""
"Department of Public Safety","2016-07-22","WORKQUEST","405-17-P008933","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-17-P008933' target='_blank'>405-17-P008933</a>","Procurement of shipping packages and freight","$133,808","Completed","08/31/2017","Non-Comp, Non-Emergency","Other","962-24 Other Services, 962-86 Other Services","""17419760511001"""
"Department of Public Safety","2016-07-22","GT DISTRIBUTORS","405-17-P009214","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-17-P009214' target='_blank'>405-17-P009214</a>","Commodity procurement of ammunition","$236,385","Completed","09/30/2016","Competitive","Goods","680-4  Goods","""17423395288005"""
"Department of Public Safety","2016-07-23","PALOMAR MODULAR BUILDINGS LLC","405-17-P009127","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-17-P009127' target='_blank'>405-17-P009127</a>","Modular Building Lease - Austin HQ","$364,957","Active","08/31/2026","Competitive","Other","910-63 Construction, 962-46 Other Services, 971-8  Rental or Lease","""12741285386001"""
"Department of Public Safety","2016-07-24","ICOR TECHNOLOGY INC","405-16-P009219","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-16-P009219' target='_blank'>405-16-P009219</a>","Commodity Procurement of SWAT Robot w/accessories","$50,129","Completed","12/16/2016","Competitive","Goods","680-66 Goods","""19806107272000"""
"Department of Public Safety","2016-07-25","NEMO-Q INC","405-17-P009056","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-17-P009056' target='_blank'>405-17-P009056</a>","Queuing Solution","$2,180,300","Completed","08/31/2020","Competitive","Information","204-22 Information Technology, 939-21 Information Technology, 920-45 Information Technology, 208-11 Information Technology","""11419060600T13"""
"Department of Public Safety","2016-07-25","PALOMAR MODULAR BUILDINGS LLC","405-17-P009230","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-17-P009230' target='_blank'>405-17-P009230</a>","Modular Building Lease - Los Indios","$97,444","Completed","08/31/2025","Competitive","Other","910-63 Construction, 971-8  Rental or Lease, 962-46 Other Services","""12741285386001"""
"Department of Public Safety","2016-07-26","JAMES G BERGMAN","405-16-P005454","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-16-P005454' target='_blank'>405-16-P005454</a>","Jasper Site Agreement","$42,813","Completed","08/31/2021","Competitive","Goods","971-35 Rental or Lease","""ue-00000003811"""
"Department of Public Safety","2016-07-26","ARC","405-16-P008555","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-16-P008555' target='_blank'>405-16-P008555</a>","Lenovo Laptops","$70,304","Completed","08/16/2016","Competitive","Information","204-68 Information Technology, 204-54 Information Technology, 958-5  Management Services","""14528187470000"""
"Department of Public Safety","2016-07-26","MILLER UNIFORMS & EMBLEMS","405-16-P009263","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-16-P009263' target='_blank'>405-16-P009263</a>","Commodity Procurement of Body Armor Skins","$75,567","Completed","01/20/2017","Competitive","Goods","200-87 Goods","""17424937377001"""
"Department of Public Safety","2016-07-26","DEPARTMENT OF AGING AND DISABILITY","405-LES-16-0043","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-LES-16-0043' target='_blank'>405-LES-16-0043</a>","Criminal History Records Information","$750,000","Completed","08/31/2017","Non-Comp, Interagency","Goods","990-41 Security/Safety Services","""16805835770007"""
"Department of Public Safety","2016-07-27","SAMES, INC","405-16-P009209","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-16-P009209' target='_blank'>405-16-P009209</a>","McAllen Office Refresh","$68,256","Completed","12/31/2016","Competitive","Goods","910-65 Construction","""ue-00000001988"""
"Department of Public Safety","2016-07-27","STAPLES PRINT SOLUTIONS","405-17-P009276","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-17-P009276' target='_blank'>405-17-P009276</a>","Commodity procurement of DL7 Spanish Driver Handbo","$65,250","Completed","08/31/2017","Competitive","Other","966-16 Other Services","""13113890381006"""
"Department of Public Safety","2016-07-28","APPLE INC","405-16-P008675","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-16-P008675' target='_blank'>405-16-P008675</a>","Apple Volume Purchase Program","$50,000","Completed","07/17/2020","Competitive","Information","208-11 Information Technology","""19424041101T26"""
"Department of Public Safety","2016-07-28","AIR METHODS DBA UNITED ROTORCRAFT","405-16-P008856","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-16-P008856' target='_blank'>405-16-P008856</a>","Helicopter Maintenance Services","$163,500","Completed","02/28/2018","Competitive","Goods","905-14 Non-Construction Maintenance","""18409158930*00"""
"Department of Public Safety","2016-07-28","DMI CORP","405-16-P008977","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-16-P008977' target='_blank'>405-16-P008977</a>","Water Heater Replacement","$80,949","Completed","08/31/2016","Competitive","Goods","820-8  Goods","""17524997800002"""
"Department of Public Safety","2016-07-28","TRANE US INC","405-16-P009093","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-16-P009093' target='_blank'>405-16-P009093</a>","Compressor Replacement","$24,000","Completed","09/30/2016","Non-Comp, Non-Emergency","Goods","936-8  Non-Construction Maintenance","""12509004656*02"""
"Department of Public Safety","2016-07-28","SAFETY SUPPLY CO","405-16-P009356","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-16-P009356' target='_blank'>405-16-P009356</a>","Commodity Procurement of Tactical Body Armor","$300,222","Completed","08/31/2016","Competitive","Goods","680-8  Goods","""17422801534000"""
"Department of Public Safety","2016-07-29","THOMAS DUFRESNE","405-16-P008725","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-16-P008725' target='_blank'>405-16-P008725</a>","Purchase of Aircraft Maintenance Services","$200,000","Completed","08/31/2017","Competitive","Goods","905-16 Non-Construction Maintenance","""70045507053000"""
"Department of Public Safety","2016-07-31","PRESIDIO NETWORKED SOLUTIONS INC","405-16-P009208","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-16-P009208' target='_blank'>405-16-P009208</a>","Cisco Smartnet","$6,638,843","Completed","06/30/2020","Competitive","Information","920-45 Information Technology","""15816676553007"""
"Department of Public Safety","2016-08-01","WESCAM INC","405-16-P007360","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-16-P007360' target='_blank'>405-16-P007360</a>","Wescam MX IR Surveillance Equipment Maintenance","$1,200,000","Completed","11/30/2020","Competitive","Goods","936-57 Non-Construction Maintenance","""31000590443000"""
"Department of Public Safety","2016-08-01","VAN BORTEL AIRCRAFT INC","405-17-P008863","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-17-P008863' target='_blank'>405-17-P008863</a>","Van Bortel Aircraft Maintenance","$306,287","Completed","01/31/2019","Competitive","Goods","905-16 Non-Construction Maintenance","""11612962859T26"""
"Department of Public Safety","2016-08-01","DUNAGAN WAREHOUSE CORP","405-17-P010100","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-17-P010100' target='_blank'>405-17-P010100</a>","Lufkin Building Lease 20556","$521,015","Completed","12/31/2018","Competitive","Goods","971-70 Rental or Lease","""17519241248000"""
"Department of Public Safety","2016-08-02","GT DISTRIBUTORS","405-16-P009445","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-16-P009445' target='_blank'>405-16-P009445</a>","Commodity procurement of holters and batons","$137,595","Completed","09/15/2016","Competitive","Goods","680-20 Goods, 680-12 Goods","""17423395288005"""
"Department of Public Safety","2016-08-02","BULLCHASE","405-16-P009448","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-16-P009448' target='_blank'>405-16-P009448</a>","Procurement of Riot Gear","$87,442","Completed","09/26/2016","Competitive","Goods","345-74 Goods, 680-84 Goods, 680-20 Goods","""12637188348001"""
"Department of Public Safety","2016-08-02","WORKQUEST (formerly TIBH)","405-17-P009363","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-17-P009363' target='_blank'>405-17-P009363</a>","TIBH Temporary Staffing","$585,748","Completed","08/31/2017","Non-Comp, Non-Emergency","Management","962-69 Management Services","""17419760511015"""
"Department of Public Safety","2016-08-03","COVERTTRACK GROUP INC","405-16-P008797","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-16-P008797' target='_blank'>405-16-P008797</a>","Surveillance Equipment & Svcs","$802,395","Completed","08/31/2020","Competitive","Other","990-80 Security/Safety Services, 962-86 Other Services, 680-87 Goods","""14605333914000"""
"Department of Public Safety","2016-08-03","MILLER UNIFORMS & EMBLEMS","405-16-P009454","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-16-P009454' target='_blank'>405-16-P009454</a>","Commodity Procurement of Body Armor","$108,872","Completed","09/30/2016","Competitive","Goods","680-8  Goods","""17424937377001"""
"Department of Public Safety","2016-08-03","TEXAS DEPARTMENT OF TRANSPORTATION","405-THP-16-0015","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-THP-16-0015' target='_blank'>405-THP-16-0015</a>","PROVIDE LAW ENFORCEMENT PRESENCE CONSTRUCTION ZONE","$74,000","Completed","08/31/2017","Non-Comp, Interagency","Professional","962-58 Professional Services","""17460001708034"""
"Department of Public Safety","2016-08-04","DATA PROJECTIONS, INC.","405-16-P009032","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-16-P009032' target='_blank'>405-16-P009032</a>","Audio Visual Equipment and Installation","$110,797","Completed","08/31/2017","Competitive","Other","840-56 Goods, 962-46 Other Services","""17603260229*02"""
"Department of Public Safety","2016-08-04","BUILDING ABATEMENT DEMOLITION CO INC","405-16-P009328","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-16-P009328' target='_blank'>405-16-P009328</a>","Abatement Services","$18,000","Completed","09/30/2016","Competitive","Goods","910-38 Construction","""14505803420001"""
"Department of Public Safety","2016-08-04","GTS TECHNOLOGY SOLUTION INC","405-16-P009459","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-16-P009459' target='_blank'>405-16-P009459</a>","Dell Server","$198,558","Completed","08/31/2016","Competitive","Information","204-64 Information Technology, 204-91 Information Technology, 207-25 Information Technology","""17423397979025"""
"Department of Public Safety","2016-08-05","EL PASO AERO INC","405-16-P008726","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-16-P008726' target='_blank'>405-16-P008726</a>","Purchase of Aircraft Maintenance services","$200,000","Completed","01/31/2019","Competitive","Goods","905-16 Non-Construction Maintenance","""17416529810000"""
"Department of Public Safety","2016-08-05","CARRIER CORPORATION","405-16-P009505","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-16-P009505' target='_blank'>405-16-P009505</a>","Chiller Repairs","$35,000","Completed","09/30/2016","Non-Comp, Non-Emergency","Goods","910-36 Construction","""10609917165013"""
"Department of Public Safety","2016-08-05","RAMS AVIATION COMPANY INC","405-17-P008867","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-17-P008867' target='_blank'>405-17-P008867</a>","Purchase of Aircraft Maintenance Services","$725,000","Completed","02/28/2018","Competitive","Goods","905-16 Non-Construction Maintenance","""17605138167002"""
"Department of Public Safety","2016-08-05","AIRBUS HELICOPTERS INC","405-17-P008874","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-17-P008874' target='_blank'>405-17-P008874</a>","Purchase of Aircraft Maintenance Services","$700,000","Completed","08/31/2018","Competitive","Goods","905-16 Non-Construction Maintenance","""17524167206T26"""
"Department of Public Safety","2016-08-08","POOR BOY INC","405-16-P008855","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-16-P008855' target='_blank'>405-16-P008855</a>","Purchase of Aircraft Maintenance Services","$200,000","Completed","01/31/2019","Competitive","Goods","905-16 Non-Construction Maintenance","""17418326801000"""
"Department of Public Safety","2016-08-08","MCCREERY AVIATION CO INC","405-17-P008868","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-17-P008868' target='_blank'>405-17-P008868</a>","Purchase of Aircraft maintenance services","$193,659","Completed","01/31/2019","Competitive","Goods","905-16 Non-Construction Maintenance","""17417612722000"""
"Department of Public Safety","2016-08-09","OPTIMUM TECHNOLOGY, INC.","405-16-P008224","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-16-P008224' target='_blank'>405-16-P008224</a>","Uniform Crime Reporting System (UCR)","$646,815","Completed","02/28/2021","Competitive","Information","920-64 Information Technology","""13112310811*00"""
"Department of Public Safety","2016-08-09","GTS TECHNOLOGY SOLUTIONS INC","405-16-P009044","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-16-P009044' target='_blank'>405-16-P009044</a>","Panasonic Toughpads","$739,230","Completed","08/09/2016","Competitive","Information","204-54 Information Technology, 204-60 Information Technology, 204-48 Information Technology, 920-47 Information Technology","""17423397979T13"""
"Department of Public Safety","2016-08-09","GTS TECHNOLOGY SOLUTIONS INC","405-16-P009045","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-16-P009045' target='_blank'>405-16-P009045</a>","InCar Hardware","$304,073","Completed","08/09/2016","Competitive","Information","204-54 Information Technology, 204-82 Information Technology, 204-35 Information Technology, 963-91 Other Services, 204-72 Information Technology","""17423397979T13"""
"Department of Public Safety","2016-08-09","SATELLITE AND WIRELESS SOLUTIONS","405-16-P009479","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-16-P009479' target='_blank'>405-16-P009479</a>","Modems","$57,525","Completed","08/09/2016","Competitive","Information","204-58 Information Technology","""12614635527001"""
"Department of Public Safety","2016-08-09","GT DISTRIBUTORS","405-17-P009580","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-17-P009580' target='_blank'>405-17-P009580</a>","Commodity procurement of ammunition","$236,385","Completed","12/09/2016","Competitive","Goods","680-4  Goods","""17423395288005"""
"Department of Public Safety","2016-08-10","WORKQUEST (formerly TIBH)","405-17-P009374","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-17-P009374' target='_blank'>405-17-P009374</a>","TIBH Temporary Staffing","$255,980","Completed","08/31/2017","Non-Comp, Non-Emergency","Management","962-69 Management Services","""17419760511015"""
"Department of Public Safety","2016-08-11","CUSTOM WALLCOVERING","405-16-P009536","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-16-P009536' target='_blank'>405-16-P009536</a>","Painting and Vinyl wall covering","$51,700","Completed","12/16/2016","Competitive","Goods","910-74 Construction","""12040893583000"""
"Department of Public Safety","2016-08-12","ALL BUSINESS MACHINES INC","405-16-P009618","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-16-P009618' target='_blank'>405-16-P009618</a>","TXMAS Commodity purchase of gas chromatograph","$87,073","Completed","08/31/2016","Competitive","Goods","493-11 Goods","""16804845705000"""
"Department of Public Safety","2016-08-12","CITY OF DENTON","405-16-P009964","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-16-P009964' target='_blank'>405-16-P009964</a>","Interlocal - Vehicle maintenance services","$150,000","Completed","08/31/2020","Non-Comp, Interagency","Goods","928-15 Non-Construction Maintenance","""17560005146013"""
"Department of Public Safety","2016-08-12","ADJUTANT GENERAL'S DEPARTMENT","405-17-P009471","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-17-P009471' target='_blank'>405-17-P009471</a>","State Border Security Program","$3,500,000","Completed","08/31/2017","Non-Comp, Interagency","Management","958-14 Management Services","""17460000536002"""
"Department of Public Safety","2016-08-12","TEXAS A&M FOREST SERVICE","405-17-P009558","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-17-P009558' target='_blank'>405-17-P009558</a>","Type 3 Incident Management Team Training","$142,464","Completed","08/31/2017","Non-Comp, Interagency","Other","924-41 Other Services","""17460140654004"""
"Department of Public Safety","2016-08-12","TIER ONE PARTNERS ALLIANCE","405-17-P009629","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-17-P009629' target='_blank'>405-17-P009629</a>","Procurement of AA Lithium Batteries","$632,000","Completed","09/23/2016","Competitive","Goods","287-12 Goods","""14555924233004"""
"Department of Public Safety","2016-08-15","ACE FLOORING SOLUTIONS LLC","405-16-P009535","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-16-P009535' target='_blank'>405-16-P009535</a>","Carpeting Replacement","$42,159","Completed","12/16/2016","Competitive","Goods","910-9  Construction","""12615167801000"""
"Department of Public Safety","2016-08-16","GTS TECHNOLOGY SOLUTION INC","405-17-P009670","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-17-P009670' target='_blank'>405-17-P009670</a>","DBITS Services","$50,000","Completed","08/31/2017","Competitive","Other","920-31 Information Technology, 962-88 Other Services","""17423397979025"""
"Department of Public Safety","2016-08-17","COLLEGE STATION AUTO PARTS INC","405-17-P009739","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-17-P009739' target='_blank'>405-17-P009739</a>","Purchase of Cargo Boxes for THP","$488,400","Completed","11/25/2016","Competitive","Goods","55 -16 Goods","""17428302305002"""
"Department of Public Safety","2016-08-18","JR TRI-STATE GENERAL CONTRACTING GROUP INC","405-16-P009632","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-16-P009632' target='_blank'>405-16-P009632</a>","DL Refresh / Remodel","$40,563","Completed","12/30/2016","Competitive","Goods","910-65 Construction","""12001864714T26"""
"Department of Public Safety","2016-08-18","WORKQUEST (formerly TIBH)","405-17-P009600","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-17-P009600' target='_blank'>405-17-P009600</a>","Staff Aug- Temporary Personal","$500,000","Completed","08/31/2017","Competitive","Management","962-69 Management Services","""17520201645005"""
"Department of Public Safety","2016-08-18","WORKQUEST","405-17-P009633","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-17-P009633' target='_blank'>405-17-P009633</a>","Staff Aug- Temporary personal for TDEM","$152,000","Completed","08/31/2017","Non-Comp, Non-Emergency","Management","962-69 Management Services","""17207231840001"""
"Department of Public Safety","2016-08-19","MOTOROLA SOLUTIONS INC","405-16-P009681","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-16-P009681' target='_blank'>405-16-P009681</a>","Motorola APX Portable Radios","$162,965","Completed","08/31/2016","Competitive","Goods","726-88 Goods","""13611158000013"""
"Department of Public Safety","2016-08-19","PITNEY BOWES PRESORT SERVICES","405-17-P009357","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-17-P009357' target='_blank'>405-17-P009357</a>","FY17 Mail Postage cost and Presort/Barcoding","$4,032,000","Completed","12/29/2017","Competitive","Other","915-58 Other Services, 963-57 Other Services","""18413863897067"""
"Department of Public Safety","2016-08-19","FEDERAL EXPRESS CORP","405-17-P009717","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-17-P009717' target='_blank'>405-17-P009717</a>","FY17 Agency Wide Blanket FedEx Shipping","$87,000","Completed","08/31/2017","Competitive","Other","962-24 Other Services","""17104270073018"""
"Department of Public Safety","2016-08-19","LONE STAR OVERNIGHT","405-17-P009723","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-17-P009723' target='_blank'>405-17-P009723</a>","Blanket PO Lone Star Overnight Shipping","$200,000","Completed","08/31/2018","Competitive","Other","962-24 Other Services","""19546011263458"""
"Department of Public Safety","2016-08-20","RADIANT RFID LLC","405-16-P009435","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-16-P009435' target='_blank'>405-16-P009435</a>","Virtual Asset Tracker Software Maintenance","$108,440","Completed","08/31/2020","Competitive","Information","920-45 Information Technology, 208-55 Information Technology","""12018557095000"""
"Department of Public Safety","2016-08-21","SOLID BORDER INC","405-16-P004533","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-16-P004533' target='_blank'>405-16-P004533</a>","Rapid 7 Nexpose","$515,988","Completed","08/21/2018","Competitive","Information","920-45 Information Technology, 920-37 Information Technology, 920-40 Information Technology","""13310091213000"""
"Department of Public Safety","2016-08-22","SANDOVAL CUSTOM CREATIONS INC","405-16-P009695","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-16-P009695' target='_blank'>405-16-P009695</a>","Covert Hardware","$200,268","Completed","08/31/2018","Competitive","Goods","680-87 Goods","""18415436965000"""
"Department of Public Safety","2016-08-22","TECAN SP INC","405-16-P009813","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-16-P009813' target='_blank'>405-16-P009813</a>","PROPRIETARY COMMODITY PURCHASE - SPEWARE EQUIPMENT","$51,861","Completed","09/08/2016","Competitive","Goods","493-30 Goods, 493-64 Goods","""13307438914000"""
"Department of Public Safety","2016-08-23","ACO REMODELING & CONSTRUCTION INC","405-16-P009677","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-16-P009677' target='_blank'>405-16-P009677</a>","Roof Replacement","$49,750","Completed","10/02/2016","Competitive","Goods","910-75 Construction","""18005724630000"""
"Department of Public Safety","2016-08-23","TAB PRODUCTS CO LLC","405-16-P009790","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-16-P009790' target='_blank'>405-16-P009790</a>","Dormitory Metal Furniture","$201,638","Completed","12/31/2016","Competitive","Goods","420-16 Goods","""15223901628001"""
"Department of Public Safety","2016-08-23","TEQSYS INC","405-17-P009773","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-17-P009773' target='_blank'>405-17-P009773</a>","NetBackUp","$338,268","Completed","09/28/2017","Competitive","Information","920-45 Information Technology","""10303794084003"""
"Department of Public Safety","2016-08-24","6592 AMARILLO LLC","405-17-P009673","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-17-P009673' target='_blank'>405-17-P009673</a>","TFC Building Lease - Amarillo - 20528","$3,523,597","Active","06/30/2027","Competitive","Goods","971-45 Rental or Lease","""18235694785000"""
"Department of Public Safety","2016-08-24","GTS TECHNOLOGY SOLUTION INC","405-17-P009740","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-17-P009740' target='_blank'>405-17-P009740</a>","Blanket PO Computers & Accessories","$225,000","Completed","08/31/2017","Competitive","Information","204-54 Information Technology, 204-53 Information Technology, 204-32 Information Technology, 958-5  Management Services, 204-68 Information Technology, 207-37 Information Technology","""17423397979025"""
"Department of Public Safety","2016-08-25","Enforcement Video, L.P","405-16-P009676","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-16-P009676' target='_blank'>405-16-P009676</a>","In Car Video System","$1,911,424","Completed","08/25/2016","Competitive","Goods","55 -12 Goods","""ue-00000000456"""
"Department of Public Safety","2016-08-25","CEDA-TEX SERVICES INC","405-16-P009794","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-16-P009794' target='_blank'>405-16-P009794</a>","Demo and Construction","$274,238","Completed","12/16/2016","Competitive","Goods","912-40 Construction","""17429198900001"""
"Department of Public Safety","2016-08-25","TECAN US INC","405-17-P009814","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-17-P009814' target='_blank'>405-17-P009814</a>","Tecan EVO Robots Service Agreement FY17","$121,920","Completed","02/28/2017","Competitive","Medical","938-81 Medical Services","""15613372489003"""
"Department of Public Safety","2016-08-25","MALDONADO NURSERY & LANDSCAPING INC","405-17-P009875","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-17-P009875' target='_blank'>405-17-P009875</a>","Austin NW Lawn Care","$56,004","Completed","08/31/2020","Competitive","Goods","988-36 Non-Construction Maintenance","""17425938713001"""
"Department of Public Safety","2016-08-26","CIMA SOLUTIONS GROUP LLC","405-17-P009838","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-17-P009838' target='_blank'>405-17-P009838</a>","TLETS Equipment/ SW Maintenance","$435,324","Completed","08/31/2017","Competitive","Information","920-45 Information Technology, 939-21 Information Technology","""12024469202002"""
"Department of Public Safety","2016-08-26","SHI GOVERNMENT SOLUTIONS","405-17-P009906","<a href='https://cms.lbb.texas.gov/Default.aspx?aid=405&cid=405-17-P009906' target='_blank'>405-17-P009906</a>","Microsoft Licenses","$50,929","Completed","12/31/2016","Competitive","Information","208-80 Information Technology","""12236954785012"""
